,dose,real_date,extrapolated,vaccinated,interpolated,group,population
1117,2_wait,2021-03-07,False,599932,1,all,56286961
591,2,2021-03-07,False,797318,1,all,56286961
59,1,2021-03-08,False,19199229,1,all,56286961
1118,2_wait,2021-03-08,False,612563,1,all,56286961
592,2,2021-03-08,False,821119,1,all,56286961
1119,2_wait,2021-03-09,False,640216,1,all,56286961
593,2,2021-03-09,False,868269,1,all,56286961
60,1,2021-03-09,False,19380357,1,all,56286961
594,2,2021-03-10,False,939230,1,all,56286961
61,1,2021-03-10,False,19587078,1,all,56286961
1120,2_wait,2021-03-10,False,684217,1,all,56286961
595,2,2021-03-11,False,1008910,1,all,56286961
62,1,2021-03-11,False,19798471,1,all,56286961
1121,2_wait,2021-03-11,False,729262,1,all,56286961
596,2,2021-03-12,False,1076424,1,all,56286961
63,1,2021-03-12,False,20111187,1,all,56286961
1122,2_wait,2021-03-12,False,766498,1,all,56286961
597,2,2021-03-13,False,1115063,1,all,56286961
1123,2_wait,2021-03-13,False,788185,1,all,56286961
64,1,2021-03-13,False,20568817,1,all,56286961
1124,2_wait,2021-03-14,False,797318,1,all,56286961
65,1,2021-03-14,False,20791833,1,all,56286961
598,2,2021-03-14,False,1129439,1,all,56286961
66,1,2021-03-15,False,21122510,1,all,56286961
1125,2_wait,2021-03-15,False,821119,1,all,56286961
599,2,2021-03-15,False,1161522,1,all,56286961
600,2,2021-03-16,False,1224429,1,all,56286961
1126,2_wait,2021-03-16,False,868269,1,all,56286961
67,1,2021-03-16,False,21493351,1,all,56286961
601,2,2021-03-17,False,1315337,1,all,56286961
1127,2_wait,2021-03-17,False,939230,1,all,56286961
68,1,2021-03-17,False,21886121,1,all,56286961
602,2,2021-03-18,False,1419946,1,all,56286961
69,1,2021-03-18,False,22337586,1,all,56286961
1128,2_wait,2021-03-18,False,1008910,1,all,56286961
70,1,2021-03-19,False,22873074,1,all,56286961
603,2,2021-03-19,False,1520676,1,all,56286961
1129,2_wait,2021-03-19,False,1076424,1,all,56286961
71,1,2021-03-20,False,23559498,1,all,56286961
604,2,2021-03-20,False,1591124,1,all,56286961
1130,2_wait,2021-03-20,False,1115063,1,all,56286961
1131,2_wait,2021-03-21,False,1129439,1,all,56286961
605,2,2021-03-21,False,1621543,1,all,56286961
72,1,2021-03-21,False,23854859,1,all,56286961
606,2,2021-03-22,False,1685978,1,all,56286961
73,1,2021-03-22,False,24137418,1,all,56286961
1132,2_wait,2021-03-22,False,1161522,1,all,56286961
607,2,2021-03-23,False,1820526,1,all,56286961
74,1,2021-03-23,False,24406072,1,all,56286961
1133,2_wait,2021-03-23,False,1224429,1,all,56286961
608,2,2021-03-24,False,2028538,1,all,56286961
75,1,2021-03-24,False,24681952,1,all,56286961
1134,2_wait,2021-03-24,False,1315337,1,all,56286961
609,2,2021-03-25,False,2226744,1,all,56286961
76,1,2021-03-25,False,24940002,1,all,56286961
1135,2_wait,2021-03-25,False,1419946,1,all,56286961
77,1,2021-03-26,False,25284009,1,all,56286961
1136,2_wait,2021-03-26,False,1520676,1,all,56286961
610,2,2021-03-26,False,2477707,1,all,56286961
1137,2_wait,2021-03-27,False,1591124,1,all,56286961
1138,2_wait,2021-03-28,False,1621543,1,all,56286961
611,2,2021-03-28,False,2806119,1,all,56286961
78,1,2021-03-28,False,25903777,1,all,56286961
1139,2_wait,2021-03-29,False,1685978,1,all,56286961
612,2,2021-03-29,False,2943525,1,all,56286961
79,1,2021-03-29,False,26090107,1,all,56286961
1140,2_wait,2021-03-30,False,1820526,1,all,56286961
613,2,2021-03-30,False,3177353,1,all,56286961
80,1,2021-03-30,False,26266170,1,all,56286961
1141,2_wait,2021-03-31,False,2028538,1,all,56286961
81,1,2021-03-31,False,26454214,1,all,56286961
614,2,2021-03-31,False,3519101,1,all,56286961
82,1,2021-04-01,False,26576625,1,all,56286961
1142,2_wait,2021-04-01,False,2226744,1,all,56286961
615,2,2021-04-01,False,3931100,1,all,56286961
83,1,2021-04-02,False,26644905,1,all,56286961
1143,2_wait,2021-04-02,False,2477707,1,all,56286961
616,2,2021-04-02,False,4146854,1,all,56286961
84,1,2021-04-03,False,26719418,1,all,56286961
617,2,2021-04-03,False,4304757,1,all,56286961
85,1,2021-04-04,False,26746035,1,all,56286961
1144,2_wait,2021-04-04,False,2806119,1,all,56286961
618,2,2021-04-04,False,4344246,1,all,56286961
1145,2_wait,2021-04-05,False,2943525,1,all,56286961
619,2,2021-04-05,False,4398308,1,all,56286961
86,1,2021-04-05,False,26765860,1,all,56286961
620,2,2021-04-06,False,4560774,1,all,56286961
87,1,2021-04-06,False,26820156,1,all,56286961
1146,2_wait,2021-04-06,False,3177353,1,all,56286961
621,2,2021-04-07,False,4933014,1,all,56286961
88,1,2021-04-07,False,26879118,1,all,56286961
1147,2_wait,2021-04-07,False,3519101,1,all,56286961
89,1,2021-04-08,False,26934657,1,all,56286961
1148,2_wait,2021-04-08,False,3931100,1,all,56286961
622,2,2021-04-08,False,5336226,1,all,56286961
1149,2_wait,2021-04-09,False,4146854,1,all,56286961
623,2,2021-04-09,False,5740432,1,all,56286961
90,1,2021-04-09,False,26996932,1,all,56286961
1150,2_wait,2021-04-10,False,4304757,1,all,56286961
624,2,2021-04-10,False,6177874,1,all,56286961
91,1,2021-04-10,False,27070987,1,all,56286961
1151,2_wait,2021-04-11,False,4344246,1,all,56286961
625,2,2021-04-11,False,6338328,1,all,56286961
92,1,2021-04-11,False,27107587,1,all,56286961
626,2,2021-04-12,False,6504601,1,all,56286961
93,1,2021-04-12,False,27132935,1,all,56286961
1152,2_wait,2021-04-12,False,4398308,1,all,56286961
94,1,2021-04-13,False,27172298,1,all,56286961
1153,2_wait,2021-04-13,False,4560774,1,all,56286961
627,2,2021-04-13,False,6762334,1,all,56286961
95,1,2021-04-14,False,27251414,1,all,56286961
1154,2_wait,2021-04-14,False,4933014,1,all,56286961
628,2,2021-04-14,False,7054714,1,all,56286961
96,1,2021-04-15,False,27345000,1,all,56286961
1155,2_wait,2021-04-15,False,5336226,1,all,56286961
629,2,2021-04-15,False,7417715,1,all,56286961
97,1,2021-04-16,False,27447279,1,all,56286961
630,2,2021-04-16,False,7863743,1,all,56286961
1156,2_wait,2021-04-16,False,5740432,1,all,56286961
631,2,2021-04-17,False,8322623,1,all,56286961
98,1,2021-04-17,False,27559377,1,all,56286961
1157,2_wait,2021-04-17,False,6177874,1,all,56286961
632,2,2021-04-18,False,8518493,1,all,56286961
99,1,2021-04-18,False,27628573,1,all,56286961
1158,2_wait,2021-04-18,False,6338328,1,all,56286961
633,2,2021-04-19,False,8734157,1,all,56286961
100,1,2021-04-19,False,27713630,1,all,56286961
