,vaccinated,extrapolated,data_date,real_date,dose,group,location
159,20831,True,2021-01-20,2021-01-19,2,<80,North West
160,309313,True,2021-01-20,2021-01-19,1,>=80,South East
161,337868,True,2021-01-20,2021-01-19,1,<80,South East
162,54983,True,2021-01-20,2021-01-19,2,>=80,South East
163,20382,True,2021-01-20,2021-01-19,2,<80,South East
164,226115,True,2021-01-20,2021-01-19,1,>=80,South West
165,231733,True,2021-01-20,2021-01-19,1,<80,South West
166,41783,True,2021-01-20,2021-01-19,2,>=80,South West
167,11197,True,2021-01-20,2021-01-19,2,<80,South West
168,234673,True,2021-01-21,2021-01-20,1,>=80,East Of England
169,259883,True,2021-01-21,2021-01-20,1,<80,East Of England
170,44825,True,2021-01-21,2021-01-20,2,>=80,East Of England
171,8570,True,2021-01-21,2021-01-20,2,<80,East Of England
172,169051,True,2021-01-21,2021-01-20,1,>=80,London
173,296022,True,2021-01-21,2021-01-20,1,<80,London
174,37184,True,2021-01-21,2021-01-20,2,>=80,London
175,16168,True,2021-01-21,2021-01-20,2,<80,London
176,372116,True,2021-01-21,2021-01-20,1,>=80,Midlands
177,449612,True,2021-01-21,2021-01-20,1,<80,Midlands
178,48323,True,2021-01-21,2021-01-20,2,>=80,Midlands
179,18287,True,2021-01-21,2021-01-20,2,<80,Midlands
180,316649,True,2021-01-21,2021-01-20,1,>=80,North East And Yorkshire
181,399253,True,2021-01-21,2021-01-20,1,<80,North East And Yorkshire
182,54081,True,2021-01-21,2021-01-20,2,>=80,North East And Yorkshire
183,17426,True,2021-01-21,2021-01-20,2,<80,North East And Yorkshire
184,256455,True,2021-01-21,2021-01-20,1,>=80,North West
185,339217,True,2021-01-21,2021-01-20,1,<80,North West
186,41236,True,2021-01-21,2021-01-20,2,>=80,North West
187,21473,True,2021-01-21,2021-01-20,2,<80,North West
188,327561,True,2021-01-21,2021-01-20,1,>=80,South East
189,364677,True,2021-01-21,2021-01-20,1,<80,South East
190,54995,True,2021-01-21,2021-01-20,2,>=80,South East
191,20841,True,2021-01-21,2021-01-20,2,<80,South East
192,240913,True,2021-01-21,2021-01-20,1,>=80,South West
193,251472,True,2021-01-21,2021-01-20,1,<80,South West
194,41811,True,2021-01-21,2021-01-20,2,>=80,South West
195,11333,True,2021-01-21,2021-01-20,2,<80,South West
196,256374,True,2021-01-22,2021-01-21,1,>=80,East Of England
197,293122,True,2021-01-22,2021-01-21,1,<80,East Of England
198,44795,True,2021-01-22,2021-01-21,2,>=80,East Of England
199,8691,True,2021-01-22,2021-01-21,2,<80,East Of England
200,178715,True,2021-01-22,2021-01-21,1,>=80,London
201,325366,True,2021-01-22,2021-01-21,1,<80,London
202,37676,True,2021-01-22,2021-01-21,2,>=80,London
203,16794,True,2021-01-22,2021-01-21,2,<80,London
204,397622,True,2021-01-22,2021-01-21,1,>=80,Midlands
205,488449,True,2021-01-22,2021-01-21,1,<80,Midlands
206,48329,True,2021-01-22,2021-01-21,2,>=80,Midlands
207,18511,True,2021-01-22,2021-01-21,2,<80,Midlands
208,333165,True,2021-01-22,2021-01-21,1,>=80,North East And Yorkshire
209,437239,True,2021-01-22,2021-01-21,1,<80,North East And Yorkshire
210,53840,True,2021-01-22,2021-01-21,2,>=80,North East And Yorkshire
211,17758,True,2021-01-22,2021-01-21,2,<80,North East And Yorkshire
212,276833,True,2021-01-22,2021-01-21,1,>=80,North West
213,374757,True,2021-01-22,2021-01-21,1,<80,North West
214,41124,True,2021-01-22,2021-01-21,2,>=80,North West
215,22024,True,2021-01-22,2021-01-21,2,<80,North West
216,350918,True,2021-01-22,2021-01-21,1,>=80,South East
217,398197,True,2021-01-22,2021-01-21,1,<80,South East
218,54844,True,2021-01-22,2021-01-21,2,>=80,South East
219,21243,True,2021-01-22,2021-01-21,2,<80,South East
220,253158,True,2021-01-22,2021-01-21,1,>=80,South West
221,269149,True,2021-01-22,2021-01-21,1,<80,South West
222,41797,True,2021-01-22,2021-01-21,2,>=80,South West
223,11458,True,2021-01-22,2021-01-21,2,<80,South West
224,193180,True,2021-01-19,2021-01-18,1,>=80,East Of England
225,200735,True,2021-01-19,2021-01-18,1,<80,East Of England
226,44889,True,2021-01-19,2021-01-18,2,>=80,East Of England
227,8329,True,2021-01-19,2021-01-18,2,<80,East Of England
228,148152,True,2021-01-19,2021-01-18,1,>=80,London
229,240284,True,2021-01-19,2021-01-18,1,<80,London
230,36262,True,2021-01-19,2021-01-18,2,>=80,London
231,14991,True,2021-01-19,2021-01-18,2,<80,London
232,329000,True,2021-01-19,2021-01-18,1,>=80,Midlands
233,384601,True,2021-01-19,2021-01-18,1,<80,Midlands
234,48077,True,2021-01-19,2021-01-18,2,>=80,Midlands
235,17757,True,2021-01-19,2021-01-18,2,<80,Midlands
236,292842,True,2021-01-19,2021-01-18,1,>=80,North East And Yorkshire
237,340994,True,2021-01-19,2021-01-18,1,<80,North East And Yorkshire
238,54565,True,2021-01-19,2021-01-18,2,>=80,North East And Yorkshire
239,16766,True,2021-01-19,2021-01-18,2,<80,North East And Yorkshire
240,223120,True,2021-01-19,2021-01-18,1,>=80,North West
241,281820,True,2021-01-19,2021-01-18,1,<80,North West
242,41218,True,2021-01-19,2021-01-18,2,>=80,North West
243,20279,True,2021-01-19,2021-01-18,2,<80,North West
244,290789,True,2021-01-19,2021-01-18,1,>=80,South East
245,311650,True,2021-01-19,2021-01-18,1,<80,South East
246,54791,True,2021-01-19,2021-01-18,2,>=80,South East
247,19864,True,2021-01-19,2021-01-18,2,<80,South East
248,212177,True,2021-01-19,2021-01-18,1,>=80,South West
249,213494,True,2021-01-19,2021-01-18,1,<80,South West
250,41824,True,2021-01-19,2021-01-18,2,>=80,South West
251,11080,True,2021-01-19,2021-01-18,2,<80,South West
